title,description,country,city,date,severity,impact,latitude,longitude,type
"Bomb Blast in Kabul Market","A coordinated bomb attack targeted a crowded marketplace in Kabul, resulting in multiple casualties and widespread panic among residents. Emergency services responded promptly, but the incident disrupted daily life and local commerce.","Afghanistan","Kabul","2024-09-25","high","Significant loss of life and property damage.",34.5553,69.2075,"Terrorist Attack"
"Protest in Islamabad Over Fuel Prices","Thousands gathered in Islamabad to protest the recent increase in fuel prices, demanding government intervention and subsidies. The demonstration remained largely peaceful, though a few clashes with police were reported in the outskirts.","Pakistan","Islamabad","2024-10-05","medium","Traffic disruptions and minor injuries.",33.6844,73.0479,"Demonstration/Riot"
"Earthquake Strikes Quetta Region","A moderate earthquake with a magnitude of 5.2 struck the Quetta region, causing structural damage to several buildings and injuring dozens of residents. Rescue operations are ongoing to assist those affected.","Pakistan","Quetta","2024-08-18","high","Building collapses and injuries.",30.1798,66.9750,"Natural Disaster"
"Flooding in Peshawar After Heavy Rains","Unprecedented heavy rains led to severe flooding in Peshawar, submerging roads and homes. The local authorities have initiated evacuation plans and are coordinating with relief organizations to provide assistance.","Pakistan","Peshawar","2024-09-10","high","Displacement of residents and infrastructure damage.",34.0151,71.5249,"Natural Disaster"
"Bombing in Lahore Public Park","A suicide bomber detonated explosives in a popular public park in Lahore during the evening rush hour, causing numerous casualties and instilling fear among the populace.","Pakistan","Lahore","2024-10-02","high","Mass casualties and heightened security measures.",31.5204,74.3587,"Terrorist Attack"
"Demonstration in Kandahar Against Corruption","Citizens of Kandahar organized a large-scale demonstration protesting against government corruption and demanding transparency in public offices. The protest remained peaceful with strong participation from various community groups.","Afghanistan","Kandahar","2024-07-30","medium","Minor road blockages and increased police presence.",31.6289,65.7372,"Demonstration/Riot"
"Bus Accident on Karachi Highway","A passenger bus lost control and collided with a truck on the Karachi Highway, resulting in multiple fatalities and injuries. Emergency responders are working to clear the wreckage and assist the victims.","Pakistan","Karachi","2024-08-22","high","Multiple fatalities and severe injuries.",24.8607,67.0011,"Transport Accident"
"Protests in Herat Over Water Scarcity","Residents of Herat have been protesting against the ongoing water scarcity, demanding better management of water resources and infrastructure improvements to ensure sustainable water supply.","Afghanistan","Herat","2024-09-12","medium","Traffic disruptions and heightened tensions with authorities.",34.3317,62.1699,"Demonstration/Riot"
"Explosion in Peshawar Market","An explosion occurred in a bustling market area of Peshawar, causing panic and casualties among shoppers. Authorities are investigating the incident as a possible terrorist attack.","Pakistan","Peshawar","2024-09-28","high","Casualties and significant property damage.",34.0151,71.5249,"Terrorist Attack"
"Earthquake in Nangarhar Province","A strong earthquake struck Nangarhar Province, leading to the collapse of several buildings and trapping many residents under the rubble. Rescue teams are on-site conducting search and rescue operations.","Afghanistan","Nangarhar","2024-08-05","high","Building collapses and numerous injuries.",34.5167,70.1167,"Natural Disaster"
